language,word_form,lwt_code,lwt_label,word_meaning_relation
Archi,čelle,12.06,outside,NA
Archi,čelleši qˤes,10.474,to go out,NA
Archi,čerχ,4.11,the body,NA
Archi,cet,7.221,the doorpost,NA
Archi,četverg,14.66,Thursday,NA
Archi,čij,23.9,the tea,NA
Archi,čilinokɬʼ,7.17,the cookhouse,NA
Archi,čitir,7.14,the tent,NA
Archi,čiχir,5.92,the wine,NA
Archi,cok’as,4.65,to piss,NA
Archi,čučəbos,9.36,to wash,NA
Archi,čula,15.77,smooth,NA
Archi,čut,13.37,the pair,NA
Archi,čʼaːˤri,4.144,the body hair,Super-counterpart
Archi,cʼabutːu,4.98,drunk,NA
Archi,čʼagu,4.74,to be alive,Super-counterpart
Archi,cʼaħan,1.43,the wood,NA
Archi,cʼan,4.43,the navel,NA
Archi,čʼan,3.25,the sheep,Super-counterpart
Archi,čʼan,3.28,the ewe,NA
Archi,čʼat,18.24,the language,Super-counterpart
Archi,čʼat,18.26,the word,Super-counterpart
Archi,čʼat kɬos,18.36,to promise,NA
Archi,čʼer,8.16,the fence,Super-counterpart
Archi,čʼeˤn,7.27,the wall,NA
Archi,čʼil,8.52,the hay,NA
Archi,cʼor,18.28,the name,NA
Archi,čʼor,6.62,the button,NA
Archi,cʼor ačmul,2.341,the divorce,Sub-counterpart
Archi,cʼummus,5.47,to sieve or to strain,NA
Archi,cʼunas,11.24,to preserve,Super-counterpart
Archi,cʼunas,12.213,to pile up,Super-counterpart
Archi,cʼunas,20.44,to defend,NA
Archi,čʼut,5.34,the jug/pitcher,NA
Archi,čʼuˤbatːut,15.64,white,NA
Archi,dab,6.37,the awl,Exact counterpart
Archi,dabɬas,12.24,to open,NA
Archi,dada,2.51,the uncle,Super-counterpart
Archi,dada,2.511,the mother's brother,Super-counterpart
Archi,dada,2.512,the father's brother,Super-counterpart
Archi,daki,17.69,why?,NA
Archi,daki t’aši,17.52,because,NA
Archi,dakɬʼ,7.22,the door or gate,Sub-counterpart
Archi,dakɬʼas,12.25,to shut,NA
Archi,dalatːut iq,14.64,Tuesday,NA
Archi,dali,19.25,the walking stick,NA
Archi,dam,4.465,the sinew or tendon,NA
Archi,danna,17.66,where?,NA
Archi,daqˤ,6.91,the comb,Super-counterpart
Archi,daraj,6.25,the silk,Sub-counterpart
Archi,darcː'an,4.212,the eyebrow,NA
Archi,darcʼ,7.56,the post or pole,Sub-counterpart
Archi,dars eχmus as,17.25,to teach,NA
Archi,dars okɬmus,17.242,to study,NA
Archi,daˤzi,19.17,the boundary,NA
Archi,daχːəza,9.18,the chain,NA
Archi,daχis,9.21,to strike or hit or beat,NA
Archi,daχoni,6.96,the mirror,NA
Archi,deq’ˤ,10.71,the road,Super-counterpart
Archi,deq’ˤlit χos,19.65,to meet,NA
Archi,deqʼˤ,10.72,the path,Super-counterpart
Archi,deqʼˤlin iq,14.68,Saturday,NA
Archi,deʁdu,4.94,lame,NA
Archi,di caχas,15.21,to smell(1),NA
Archi,di etːitːut,5.125,rotten,NA
Archi,dič’,4.464,the buttocks,Super-counterpart
Archi,dičʼ,8.72,the tree stump,Super-counterpart
Archi,dikɬ'in,7.15,the yard or court,NA
Archi,dilikʼ,4.45,the liver,NA
Archi,diɬ,13.06,six,NA
Archi,diɬʷ,1.73,the cloud,Super-counterpart
Archi,dimmus as,11.27,to destroy,NA
Archi,din,22.11,the religion,NA
Archi,dinislam ɬːas,22.22,to preach,Sub-counterpart
Archi,diq'ˤ,1.84,the ash,NA
Archi,diqʼ,5.64,the soup,NA
Archi,dirzi,6.13,the tailor,NA
Archi,ditːaw,14.16,early,NA
Archi,diˤčatːut,12.63,thick,NA
Archi,doːˤzu ušdu,2.444,the older brother,Exact counterpart
Archi,doːˤzur došdur,2.454,the older sister,Exact counterpart
Archi,dogi,3.46,the donkey,NA
Archi,dogilin q'ʷíkːi,8.98,the mushroom,NA
Archi,doɬːum,3.19,the stable or stall,NA
Archi,dorki,4.412,the nipple or teat,Para-counterpart
Archi,došdur,2.45,the sister,Exact counterpart
Archi,došmin lo,2.53,the nephew,Super-counterpart
Archi,došmin lo,2.541,the sibling’s child,NA
Archi,dozba,2.47,the grandmother,Exact counterpart
Archi,dozja,2.46,the grandfather,Exact counterpart
Archi,doˤzkul as,19.31,to rule or govern,NA
Archi,doˤzut,12.55,big,NA
Archi,dubɬːas,6.35,to sew,NA
Archi,dudinka,20.22,the club,Exact counterpart
Archi,dump,12.83,the ball,NA
Archi,dunaːlu,14.32,often,NA
Archi,dunil,1.1,the world,Super-counterpart
Archi,dunil,1.51,the sky,Super-counterpart
Archi,dunil χiriχkumul,1.45,the earthquake,NA
Archi,duru,4.88,the medicine,NA
Archi,dušman,19.52,the enemy,NA
Archi,duwli,20.48,the booty,NA
Archi,dužgi,22.32,the hell,NA
Archi,duʕi,19.62,the quarrel,NA
Archi,duʕi abas,18.39,to scold,NA
Archi,duχːˤat,5.57,the mill,NA
Archi,ebqʼ,13.04,four,NA
Archi,ecas,9.35,to pour,NA
Archi,ecas,9.63,to cast,Super-counterpart
Archi,ecas,16.37,to cry,Super-counterpart
Archi,ejχˤurt,1.63,the shade or shadow,Sub-counterpart
Archi,ek’as,16.622,to choose,NA
Archi,ekas,10.23,to fall,NA
Archi,ekas as,10.16,to drop,Super-counterpart
Archi,ekɬ'as,9.37,to sweep,NA
Archi,eɬːas,12.12,to put,NA
Archi,eɬas,21.51,to steal,Super-counterpart
Archi,eq'ʷmus,9.223,to stab,Super-counterpart
Archi,eqišamin kummul,5.45,the supper,NA
Archi,erq'ʷˤmus,4.751,to drown,NA
Archi,erq'ʷˤmus,10.33,to sink,Super-counterpart
Archi,et’mus,9.16,to tie,NA
Archi,eˤčʼ sotʼu eχːas,20.63,to miss,NA
Archi,eˤhas,4.67,to have sex,NA
Archi,eˤle,9.69,the tin or tinplate,NA
Archi,eˤnkdu,4.95,deaf,NA
Archi,eχːas,12.16,to remain,NA
Archi,eχːutːut,12.17,the remains,NA
Archi,eχdat'utːut,15.79,blunt,NA
Archi,eχmus,9.341,to hang up,Super-counterpart
Archi,eχmus,10.472,to climb,Super-counterpart
Archi,eχmus,17.32,to forget,Super-counterpart
Archi,eχˤ,4.208,the cheek,Super-counterpart
Archi,gakːi,6.921,the plait/braid,NA
Archi,ganabočʼor,6.23,the linen,NA
Archi,ganga bičʼi,4.49,the testicles,Super-counterpart
Archi,gardabil,9.48,the saw,NA
Archi,gatu,3.62,the cat,NA
Archi,gatʼ,6.81,the handkerchief or rag,Para-counterpart
Archi,gazet,23.6,the newspaper,Exact counterpart
Archi,gaˤnži,4.272,the molar tooth,NA
Archi,gel,5.35,the cup,NA
Archi,genuk,5.97,the egg,NA
Archi,genuklin χaχatːub,5.971,the yolk,NA
Archi,gidu,12.82,the circle,Super-counterpart
Archi,gimi,10.81,the ship,NA
Archi,gimi,10.83,the boat,NA
Archi,gon,4.34,the finger,NA
Archi,gon,4.38,the toe,Super-counterpart
Archi,graždanin,19.37,the citizen,NA
Archi,gubčitːi,9.76,the basket,NA
Archi,gukːəbos,4.8541,to scratch,NA
Archi,gukːət’i,4.854,the itch,NA
Archi,gukːitːut,12.81,round,NA
Archi,gulitːut,17.36,secret,NA
Archi,gun,1.213,the dust,Exact counterpart
Archi,gundari,4.202,the skull,NA
Archi,gurias,10.14,to wrap,Sub-counterpart
Archi,gurkːimmaj,5.63,the sausage,NA
Archi,guruč’an,23.565,the candy/sweets,Exact counterpart
Archi,gʷaci,3.44,the mare,NA
Archi,gʷači,3.61,the dog,NA
Archi,gʷakːas,9.14,to bend,NA
Archi,gʷaqː'as,12.21,to gather,NA
Archi,gʷat,4.451,the kidney,NA
Archi,gʷeniši,6.74,the bracelet,Super-counterpart
Archi,gʷeniši,10.76,the wheel,NA
Archi,gʷetːum,3.585,the hawk,NA
Archi,hakɬ'bos,4.52,to yawn,NA
Archi,hallu,19.41,the master,Super-counterpart
Archi,hallu,19.57,the host,Super-counterpart
Archi,halɬːatːut,17.46,easy,NA
Archi,halmaχdu,19.51,the friend,NA
Archi,hani,17.64,what?,NA
Archi,hannut,17.67,which?,NA
Archi,hanq’,18.11,the voice,Super-counterpart
Archi,hanqː'a č'uˤmmus,5.19,to choke,NA
Archi,hanqʼ,4.29,the throat,NA
Archi,hanžugur,17.61,how?,NA
Archi,harak,12.04,before,NA
Archi,harak,12.041,in front of,NA
Archi,harakdumma,14.491,the day before yesterday,NA
Archi,harakut,7.25,the window,NA
Archi,haraxut eɬmul,22.45,the ghost,NA
Archi,harq,7.51,the roof,NA
Archi,haʁdut,16.66,true,NA
Archi,hawa,1.71,the air,Super-counterpart
Archi,hawa,1.72,the wind,Super-counterpart
Archi,hawa,1.78,the weather,Super-counterpart
Archi,haˤhbos,4.51,to breathe,NA
Archi,haˤnčʼbos,4.58,to bite,NA
Archi,haˤršbos as,5.22,to boil,NA
Archi,haˤrta as,9.34,to spread out,NA
Archi,haˤtəra,1.36,the river or stream,NA
Archi,haˤžəla,8.47,the maize/corn,NA
Archi,hekɬ’ena,11.18,the thing,NA
Archi,herq'ˤbos,4.521,to hiccough,NA
Archi,hibatːu,16.71,good,NA
Archi,hijbos,8.21,to plough/plow,NA
Archi,hil,1.831,the steam,Super-counterpart
Archi,hil okɬmus,4.912,to rest,NA
Archi,hilku,3.83,the fly,Exact counterpart
Archi,hinc,14.18,now,NA
Archi,his,5.39,the fork,NA
Archi,hoti,8.51,the grass,NA
Archi,hoti gʷarqː'i,8.27,the rake,Exact counterpart
Archi,hu,17.55,yes,NA
Archi,huːliši,12.32,low,NA
Archi,hubus,10.38,to blow,NA
Archi,huqʼ,1.83,the smoke,NA
Archi,hužum abas,20.43,the attack,NA
Archi,ħadurtːu,14.29,ready,NA
Archi,ħaq',11.78,the wages,NA
Archi,ħarza bokɬotːu,21.21,the plaintiff,NA
Archi,ħawan,3.11,the animal,NA
Archi,ħažaχana,23.52,the toilet,NA
Archi,ħeleku,3.55,the chicken,Exact counterpart
Archi,ħukumat,19.11,the country,Super-counterpart
Archi,ħukumat,23.3,the government,Super-counterpart
Archi,ħurulʕen,22.44,the fairy or elf,Para-counterpart
Archi,i,11.11,to have,Super-counterpart
Archi,i,24.01,to be,Super-counterpart
Archi,iːzut,15.35,sweet,NA
Archi,iːzut di,15.25,fragrant,NA
Archi,ik’mi eχːas,17.31,to remember,NA
Archi,ik'mis ekas,17.18,to seem,NA
Archi,ik'ʷ ostitːut,17.37,certain,Super-counterpart
Archi,ik’ʷ ostitːut,16.65,faithful,Super-counterpart
Archi,ikɬ ačas,8.34,to thresh,NA
Archi,ikʼmitːut,17.41,the intention,NA
Archi,ikʼʷ,4.44,the heart,NA
Archi,ilbis,22.35,the demon,NA
Archi,ili,4.12,the skin or hide,Sub-counterpart
Archi,iɬːuk,16.34,to regret or be sorry,NA
Archi,imcʼ,5.84,the honey,NA
Archi,imik,24.1,there,NA
Archi,imkɬʼəla,6.49,the sock or stocking,NA
Archi,inžir,5.75,the fig,NA
Archi,inžir,8.85,the banyan,NA
Archi,inχ,5.89,the butter,NA
Archi,iq,14.41,the day(1),NA
Archi,iq,14.411,the day(2),NA
Archi,iq'ˤíl as,17.172,to imitate,NA
Archi,iqː'ˤa,5.14,to be hungry,NA
Archi,iqː'ˤəkul,5.141,the famine,NA
Archi,iqdut,15.57,bright,Super-counterpart
Archi,iqdut,15.62,light(2),NA
Archi,irkːus,11.31,to look for,Sub-counterpart
Archi,iʁʷˤdut,15.81,heavy,NA
Archi,iʁˤda,12.37,the middle,NA
Archi,iš,14.42,the night,NA
Archi,išik,24.09,here,NA
Archi,ištarap,21.38,the fine,Exact counterpart
Archi,istihoti,5.82,the pepper,NA
Archi,isu,3.596,the owl,NA
Archi,it'aw aχt'itːut,17.45,the need or necessity,NA
Archi,itʼas,11.33,to lose,NA
Archi,itʼkes,10.491,to disappear,NA
Archi,izarit’u,13.106,a thousand,NA
Archi,iždaχa,3.97,the crocodile or alligator,Super-counterpart
Archi,iˤntim maj,4.203,the brain,NA
Archi,iχtijar kɬos,19.47,to permit,NA
Archi,iχˤmul as,16.26,to play,Super-counterpart
Archi,ja,17.54,or,NA
Archi,jaːχˤas,8.22,to dig,NA
Archi,jak,12.05,inside,NA
Archi,jakdut,12.67,deep,NA
Archi,jakɬʼad,2.62,the mother-in-law (of a man),Super-counterpart
Archi,jakɬʼad,2.621,the mother-in-law (of a woman),Super-counterpart
Archi,jam,3.71,the wolf,Exact counterpart
Archi,jamdogi,3.814,the centipede,NA
Archi,jamu,24.07,this,NA
Archi,jaq’annut,17.34,clear,NA
Archi,jaq’antʼutːut,17.35,obscure,NA
Archi,jaq’ˤan as,17.38,to explain,NA
Archi,jaq’ˤan kes,17.16,to understand,NA
Archi,jaraʁ,20.21,the weapons,NA
Archi,jarχullut,13.24,the half,NA
Archi,jaš ark’ʷmus,9.461,to hollow out,NA
Archi,jasqi,14.47,today,NA
Archi,jatːərsi,9.24,the scissors or shears,NA
Archi,jatːik,12.08,up,NA
Archi,jatːik,12.081,above,NA
Archi,jatːik eɬːas,9.15,to fold,NA
Archi,jatːiši qˤes,10.471,to go up,NA
Archi,jatːiχas,10.22,to raise or lift,NA
Archi,jatːiχas,12.212,to pick up,NA
Archi,jatːiχut č'ubus,16.69,to forgive,NA
Archi,jaˤt'annut,15.66,red,NA
Archi,jaˤt'i,3.85,the snake,NA
Archi,jaχat,4.331,the palm of the hand,NA
Archi,jonsaw,14.35,again,NA
Archi,jupka,6.46,the skirt,NA
Archi,jurʁan,7.422,the blanket,NA
Archi,k'alaroq',7.47,the shelf,NA
Archi,k’alatːut,12.65,thin,NA
Archi,k’an,12.35,the end(1),NA
Archi,k'anarakdut,13.34,first,NA
Archi,k’anχirdut,13.35,last,NA
Archi,k’ara,3.832,the mosquito,NA
Archi,k’elkes,18.23,to be silent,NA
Archi,k'ent'bos,10.24,to drip,NA
Archi,k’is,4.75,to die,NA
Archi,k’ob,6.12,the clothing or clothes,NA
Archi,k’olmas,12.23,to separate,NA
Archi,k’os,5.38,the knife(1),NA
Archi,k’os,9.23,the knife(2),NA
Archi,k'uc'i,1.88,the firewood,NA
Archi,k'uc'illit q'ˤijq'is,10.413,to crouch,NA
Archi,k’un,5.55,the flour,NA
Archi,k’urt’a,9.49,the hammer,NA
Archi,k'ʷas,1.86,to light,Exact counterpart
Archi,k'ʷet' χʷarši,3.818,the spider,NA
Archi,k'ʷet' χʷaršilin χal,3.819,the spider web,NA
Archi,kabk,9.74,the glass,NA
Archi,kačʼi,8.56,the leaf,NA
Archi,kal,8.64,the pine,NA
Archi,kammus,20.62,to shoot,Super-counterpart
Archi,karas,10.64,to lead,NA
Archi,karbat,9.66,the copper,NA
Archi,kart’i,4.2,the head,NA
Archi,kart’ilit sas,10.614,to carry on head,NA
Archi,kaʁəra,18.56,the paper,Super-counterpart
Archi,kaʁəra,23.42,the letter,NA
Archi,kes,24.02,to become,Super-counterpart
Archi,kilisa,22.131,the church,NA
Archi,kino,23.62,the film/movie,Super-counterpart
Archi,kirpič,7.62,the brick,NA
Archi,kis,8.26,the fork(2)/pitchfork,NA
Archi,kišiš,22.18,the priest,NA
Archi,kɬ’an,16.27,to love,Super-counterpart
Archi,kɬ'eɮdut,12.74,crooked,NA
Archi,kɬ'illíkɬ' berɬːi,7.421,the pillow,Super-counterpart
Archi,kɬ'inč'at'i kɬos,18.44,to threaten,NA
Archi,kɬ'ir gʷarči,4.209,the chin,Super-counterpart
Archi,kɬ'okɬ'tːut,15.89,wrinkled,NA
Archi,kɬ’ol,4.301,the shoulderblade,NA
Archi,kɬ'ont'ol,4.344,the fingernail,Super-counterpart
Archi,kɬ'uˤraˤmči,1.841,the embers,Exact counterpart
Archi,kɬan,12.85,the hole,NA
Archi,kɬos,11.21,to give,NA
Archi,kɬos,11.65,to pay,NA
Archi,kɬos,17.441,to betray,Super-counterpart
Archi,kɬummus,9.32,to stretch,Super-counterpart
Archi,kɬummus,9.33,to pull,Super-counterpart
Archi,kɬurbos,5.48,to scrape,Super-counterpart
Archi,kɬurbos,9.31,to rub,NA
Archi,kɬʼal,3.29,the lamb,NA
Archi,kɬʼan,16.62,to want,Super-counterpart
Archi,kɬʼarak,12.03,down,NA
Archi,kɬʼarak,12.07,under,NA
Archi,kɬʼarakdut,11.89,cheap,NA
Archi,kɬʼaraši qˤes,10.473,to go down,NA
Archi,kɬʼinčʼatʼi,16.53,the fear,Super-counterpart
Archi,kɬʼinčʼatʼi,16.54,the danger,Super-counterpart
Archi,kɬʼir doχotːur lo,2.74,the stepdaughter,Exact counterpart
Archi,kɬʼir χutːu lo,2.73,the stepson,Exact counterpart
Archi,kope,23.91,the coffee,Exact counterpart
Archi,kos,15.41,to hear,NA
Archi,kuːt’atːut,12.59,short,NA
Archi,kul,4.33,the hand,NA
Archi,kulaj,3.822,the beehive,NA
Archi,kulu lo,2.75,the orphan,Exact counterpart
Archi,kumak abas,19.58,to help,Exact counterpart
Archi,kummul,5.12,the food,NA
Archi,kummul,5.41,the meal,Super-counterpart
Archi,kummur,7.58,the arch,NA
Archi,kummus,5.11,to eat,NA
Archi,kura sas,10.612,to carry in hand,NA
Archi,kurak qˤes,20.46,to surrender,NA
Archi,kus,17.49,the manner,NA
Archi,kʷ’atːu,4.7501,dead,NA
Archi,kʷač'et,16.68,the deceit,NA
Archi,kʷačʼet bos,16.67,to lie(2),NA
Archi,kʷačʼetːut baqʼarankul,21.47,the perjury,NA
Archi,kʷar,6.38,the thread,Exact counterpart
Archi,kʷatʼ,8.6,the tree,NA
Archi,kʷatʼi,6.58,the glove,Super-counterpart
Archi,kʷekːis,10.12,to turn,NA
Archi,kʷekːis,10.13,to turn around,NA
Archi,kʷekːis as,10.15,to roll,NA
Archi,kʷetʼ,4.25,the lip,Super-counterpart
Archi,kʷi,17.68,who?,NA
Archi,kʼalaj,1.89,the charcoal,NA
Archi,kʼan,12.34,the bottom,NA
