ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
46,HOLLOW OUT,To make a hole in something.,,Basic actions and technology,Action/Process,
47,EXCRETA,"Waste matter, such as sweat, urine, or faeces, discharged from the body.",,The body,Person/Thing,
48,BE SILENT,To stop speaking or making noise.,,Speech and language,Action/Process,
49,REFUSE,To not do what is being asked.,,Speech and language,Action/Process,
50,JACK,A playing card marked with the figure of a servant or soldier.,,Modern world,Person/Thing,
51,SORE,"An injured, infected, inflamed or diseased patch of skin.",,The body,Person/Thing,
52,SHIVER,"To shake nervously, as if from fear.",,The body,Action/Process,
53,SPIRIT,A spiritual entity that is not as powerful as a deity.,,Religion and belief,Person/Thing,
54,SHRINK,"To decrease in size, range, or extent.",,The physical world,Action/Process,
55,WHISPER,"To speak in a quiet voice, without vibration of the vocal cords.",,Speech and language,Action/Process,
56,BAD LUCK,An undesirable event such as an accident.,,Emotions and values,Person/Thing,
57,ATOP,To be situated on something.,,Spatial relations,Other,
58,LIQUID,Existing as or having characteristics of a liquid.,,The physical world,Property,
59,ELECTRICITY,A general term used for all phenomena caused by electric charge whether static or in motion.,,Modern world,Person/Thing,
60,OAT,A species of grass (Avena sativa) grown for its seed.,,Agriculture and vegetation,Person/Thing,
61,INDUCE,To encourage into action; to cause to act in a specified manner.,,Cognition,Action/Process,
62,BE SITUATED,The way in which something is positioned vis-à-vis its surroundings.,,The physical world,Other,
63,RUMOUR,"A piece of information of questionable accuracy, from no known reliable source, usually spread by word of mouth.",,Speech and language,Person/Thing,
64,PIN,"A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.",,Clothing and grooming,Person/Thing,
65,AMBUSH,The act of concealing yourself and lying in wait to attack by surprise.,,Warfare and hunting,Person/Thing,
66,KNEEL,To go down on one or both knees.,,Motion,Action/Process,
67,EMBERS,"A small, glowing piece of coal or wood, as in a dying fire.",,The physical world,Person/Thing,
68,TATTOO,A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.,,Clothing and grooming,Person/Thing,
69,SOBER,Not under the influence of alcohol or other drugs.,,Food and drink,Property,
70,BRACKISH,"(Of water) Salty or slightly salty, as a mixture of fresh and sea water.",,Sense perception,Property,
71,BY HEART,"Completely and faithfully, refering to something that has been learnt and memorized.",,Cognition,Other,
72,CLAW,"The hard, keratin part growing at the feet of animals.",,Animals,Person/Thing,
73,BEAK,External anatomical structure of birds which is used for taking food and for eating.,,The body,Person/Thing,
74,PUPPY,A young dog.,,Animals,Person/Thing,
75,DISGRACE,To make a person morally inferior.,,Social and political relations,Action/Process,
76,YOUNG MAN,A male juvenile between the onset of puberty and maturity; in the state of development between puberty and maturity.,,Kinship,Person/Thing,
77,YOUNG WOMAN,A female juvenile between the onset of puberty and maturity; in the state of development between puberty and maturity.,,Kinship,Person/Thing,
78,THAT,"The indicated object, item, etc. distant from the speaker.",,Miscellaneous function words,Other,
79,WASTE,To cause extensive destruction or ruin utterly.,,Warfare and hunting,Action/Process,
80,DOORPOST,The frame that supports a door.,,The house,Person/Thing,
81,FATHOM,"A linear unit of measurement, equal to 6 feet, for water depth.",,Spatial relations,Person/Thing,
82,ANGER,Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).,,Emotions and values,Person/Thing,
83,FORBID,To tell not to do something.,,Speech and language,Action/Process,
84,JUST,Only a very short time before.,,Time,Other,
85,GIVE BACK,"To transfer a good to the person or people it came from, or to their legal successors.",,Possession,Action/Process,
86,SIEVE,To separate solids from each other by passing through a sieve or other straining device.,,Food and drink,Action/Process,
87,SQUINT-EYED,Directed to one side with or as if with doubt or suspicion (used especially of glances).,,The body,Property,
88,BEEHIVE,A structure that provides a natural habitation for bees; as in a hollow tree.,,Animals,Person/Thing,
89,NATIVE COUNTRY,One’s country of birth.,,Social and political relations,Person/Thing,
90,INNOCENT,Not guilty.,,Law,Property,
91,INSOLENT,Unrestrained by convention or propriety.,,Emotions and values,Property,
92,SPOIL (SOMEBODY OR SOMETHING),"To hinder or prevent (the efforts, plans, or desires) of.",,Social and political relations,Action/Process,
93,DRAW MILK,"To draw milk from (a mammal, especially a cow).",,Food and drink,Action/Process,
94,GRADUALLY,"Making progress, but slowly.",,Miscellaneous function words,Property,
95,SANDFLY,"A tiny flying insect from one of several species in the Nematocera suborder, including the families Mycetophilidae, Anisopodidae and Sciaridae.",,Animals,Person/Thing,
96,CRAWL,To move using ones hands and knees.,,Motion,Action/Process,
97,THROUGH,From one side of an opening to the other.,,Miscellaneous function words,Other,
98,ALL,The totality of.,,Quantity,Other,
99,HUNCHBACK,A person whose back is hunched because of abnormal curvature of the upper spine.,,The body,Person/Thing,
100,FAITHFUL,Steadfast in affection.,,Emotions and values,Property,
101,BOAST,To show off.,,Speech and language,Action/Process,
102,COMMON COLD (DISEASE),"A contagious, viral infectious disease of the upper respiratory system; common symptoms include cough, sore throat, runny nose, nasal congestion and sneezing.",,The body,Person/Thing,
103,FORNICATE,"To have sexual intercourse outside of marriage, especially with varying partners.",,The body,Action/Process,
104,HAILING,To fall from the clouds in form of ball or lumps of ice.,,The physical world,Action/Process,
105,MATTRESS,A pad on which a person can recline and sleep.,,Modern world,Person/Thing,
106,SATIATED,Having eaten enough.,,Food and drink,Property,
107,OMEN,A sign that is supposed to reveal whether the future will be favourable or not.,,Religion and belief,Person/Thing,
108,RUDDER,"An underwater vane used to steer a vessel. The rudder is controlled by means of a wheel, tiller or other apparatus.",,Motion,Person/Thing,
109,FOREIGN,Not belonging to that in which it is contained; introduced from an outside source.,,Cognition,Property,
110,MOTOR,A machine in which power is applied to do work by the conversion of various forms of energy into mechanical force and motion.,,Modern world,Person/Thing,
111,DRUMMING,To produce sound with a drum.,,Motion,Action/Process,
112,TURTLE,"A reptile of the order Testudines (the crown group of the superorder Chelonia), characterised by a special bony or cartilaginous shell developed from their ribs that acts as a shield.",,Animals,Person/Thing,
113,SHORE,"The margin or shore of a river, lake, or ocean.",,The physical world,Person/Thing,
114,PORPOISE,"A short-snouted genus of the dolphin family, 1.2 to 2.5 metres (4 to 8 feet) long, gregarious in habits, yielding an oil and leather.",,Animals,Person/Thing,
115,PROFLIGATE,Someone who spends money prodigiously and who is extravagant and recklessly wasteful.,,Possession,Person/Thing,
116,LARCH,"A coniferous  tree, of genus Larix, having deciduous leaves.",,Agriculture and vegetation,Person/Thing,
117,IMITATE,To follow as a model or a pattern.,,Cognition,Action/Process,
118,BEWITCH,To cast a spell on someone or something.,,Religion and belief,Action/Process,
119,DIVE,To swim under water.,,Motion,Action/Process,
120,PITCHER,A container shaped like a vase with a handle and a spout used to serve liquids.,,Food and drink,Person/Thing,
121,SPIN,"To make (yarn) by drawing out, twisting, and winding fibers.",,Clothing and grooming,Action/Process,
122,CART,"A two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.",,Motion,Person/Thing,
123,FOREHEAD,The part of the face between the hairline and the eyebrows.,,The body,Person/Thing,
124,THORN,A sharp and hard structure that grows on a plant.,,Agriculture and vegetation,Person/Thing,
125,SWEAT (SUBSTANCE),A fluid that is secreted by sweat glands in the skin in order to regulate body temperature.,,The body,Person/Thing,
126,SWEAT (PERSPIRE),To secrete sweat.,,The body,Action/Process,
127,EXTINGUISH,To make something stop burning.,,The physical world,Action/Process,
128,MUMBLE,To speak unintelligibly and without articulating.,,Speech and language,Action/Process,
129,CHOKE,"To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.",,Food and drink,Action/Process,
130,GRATIS (OF CHARGE),Without cost.,,Possession,Other,
131,FESTIVAL,"Manifestation of collective joy, lasting longer than a few minutes.",,Social and political relations,Person/Thing,
132,SAUCE,A liquid food accompanying a dish.,,Food and drink,Person/Thing,
133,WEAVE,To create a fabric by interlacing threads.,,Clothing and grooming,Action/Process,
134,FAULT,Responsibility for a wrong act done deliberately or a good act omitted deliberately.,,Emotions and values,Person/Thing,
135,BOOMERANG,A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.,,Basic actions and technology,Person/Thing,
136,HERE,At this place.,,Miscellaneous function words,Other,
137,COCA,"A plant in the family Erythroxylaceae, native to western South America.",,Agriculture and vegetation,Person/Thing,
138,BATHE,To clean oneself by immersion in water.,,The body,Action/Process,
139,GUMS,The mucosal tissue that partly lies over the teeth in the mouth.,,The body,Person/Thing,
140,PADDY FIELD,A flooded field where rice is grown.,,Agriculture and vegetation,Person/Thing,
141,BURN (SOMETHING),To cause to undergo fire combustion.,,The physical world,Action/Process,
142,RETURN HOME,"To go to one's home after having left it, such as after a working day or holidays.",,Motion,Action/Process,
143,HUMID,(Of the air) Containing a high quantity of water vapor.,,The physical world,Property,
144,MACHINE,"A device able to perform a particular, more or less complex, job.",,Modern world,Person/Thing,
145,SORROWFUL,"Filled with grief, sorrow, woe.",,Emotions and values,Property,
146,SUGAR CANE,"A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.",,Agriculture and vegetation,Person/Thing,
147,COCONUT TREE,A tropical tree with feathery leaves which bears coconuts.,,Agriculture and vegetation,Person/Thing,
148,ITCH,An unpleasant sensation on the skin that provokes the desire to scratch.,,The body,Person/Thing,
149,ITCHY,Having a sensation that provokes the need to scratch.,,Sense perception,Property,
150,WORRY,To be anxious about something.,,Emotions and values,Action/Process,
151,RAZOR,A bladed tool used for the removal of body hair through the act of shaving.,,Clothing and grooming,Person/Thing,
152,HOOF,Natural horn covering of an animal's foot.,,The body,Person/Thing,
153,GREY,"Having a colour between black and white, like ash or stone.",,Sense perception,Property,
154,UDDER,An organ in female quadruped mammals which consists of mammary glands and has several teats.,,The body,Person/Thing,
155,CHOP,"To chop wood, or to chop meat, vegetables etc. into small pieces.",,Basic actions and technology,Action/Process,
156,RED,Having red as its colour.,,Sense perception,Property,
157,DYE,To modify the color of something by applying dye.,,Clothing and grooming,Action/Process,
158,PUT ON,To put clothes onto ones body to wear them.,,Clothing and grooming,Action/Process,
159,SWEET POTATO,"A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.",,Agriculture and vegetation,Person/Thing,
160,SET (HEAVENLY BODIES),"[Of a heavenly body, essentially the Sun and the Moon] To disappear below the horizon of a planet or another heavenly body (most often the Earth).",,The physical world,Action/Process,
161,MISS (A TARGET),"To fail to hit (a target, a bell, etc.).",,Basic actions and technology,Action/Process,
162,HICCOUGH,To have spasms of the diaphragm.,,The body,Action/Process,
163,BLACK,Dark and colourless; not reflecting visible light.,,Sense perception,Property,
164,KANGAROO,A marsupial from the family Macropodidae having powerful hind legs and large feet for leaping.,,Animals,Person/Thing,
165,WALLABY,Any of several species of marsupial; usually smaller and stockier than kangaroos.,,Animals,Person/Thing,
166,MAINLAND,A large and continuous mass of land representing most of a region or a country but excluding outlying islands.,,The physical world,Person/Thing,
167,MAIL,A batch of letters and parcels received via post.,,Modern world,Person/Thing,
168,REST,"To cease working, moving or thinking for some time in order to relieve fatigue.",,The body,Action/Process,
169,IT,"An inanimate object, an animate object of unspecified sex, or a subject that is previously mentioned.",,Kinship,Other,
170,FATHER'S SISTER,The sister of one's father.,,Kinship,Person/Thing,2691
171,MOTHER'S SISTER,The sister of one's mother.,,Kinship,Person/Thing,2693
172,SHOULDERBLADE,A large flat bone located at the back of each shoulder.,,The body,Person/Thing,
173,SIBLING'S CHILD,The child of a sibling.,,Kinship,Person/Thing,
174,PROUD,"Feeling greatly pleased, or satisfied by something or someone that is highly honorable or creditable to oneself.",,Emotions and values,Property,
175,BLOW (OF WIND),(Of the wind or a current of air) To move.,,Motion,Action/Process,
176,BLOW (WITH MOUTH),To expel air through persed lips.,,Basic actions and technology,Action/Process,
177,BETEL PEPPER VINE,A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.,,Agriculture and vegetation,Person/Thing,
178,RIPE,"(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.",,Food and drink,Property,
179,RIPEN,"(For a fruit, seed, etc.) To become ripe.",,Food and drink,Action/Process,
180,CALL BY NAME,"To give a name or designation of a common noun that, e.g., reflects a quality.",,Speech and language,Action/Process,
181,ANTEATER,A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.,,Animals,Person/Thing,
182,SPOKE,One of the connecting rods between the wheel hub and the rim.,,Motion,Person/Thing,
183,BAKE,"To cook (something) in an oven, but not in fat.",,Food and drink,Action/Process,
184,MAST,"Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.",,Motion,Person/Thing,
185,FIREPLACE,"An open recess in a wall at the base of a chimney where a fire may be built, or a hearth.",,The house,Person/Thing,
186,SHIN,The front part of the leg below the knee.,,The body,Person/Thing,
187,LOIN,The part of the body (of humans and quadrupeds) each side of the backbone between the ribs and hips.,,The body,Person/Thing,
188,COMB OF BIRD,A fleshy growth on the top of the head of some birds.,,Animals,Person/Thing,
189,HAIR (BODY),The terminal hair that develops on the human body during and after puberty.,,The body,Person/Thing,
190,MOW,"To cut all the grass, crop or any thin plants of a surface area of the ground.",,Agriculture and vegetation,Action/Process,
191,NUT,A hard-shelled seed.,,Food and drink,Person/Thing,
192,CORNER,The area around the point where two converging walls meet.,,Spatial relations,Person/Thing,
193,SHALLOW,Having little depth.,,Spatial relations,Property,
194,FAMILY,"A group comprising parents, offsprings and others closely related or associated with them.",,Kinship,Person/Thing,
195,MAT,A flat object laid on the floor to protect a person from the hard floor.,,Basic actions and technology,Person/Thing,
196,DONATE,To give [a gift or award] in a formal manner.,,Social and political relations,Action/Process,
197,OTHER,The rest of a group of.,,Miscellaneous function words,Other,
198,GENITALIA,"The sexual organs: the testicles and penis of a male; or the labia, clitoris, and vagina of a female.",,The body,Person/Thing,
199,FAMINE,"A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.",,Agriculture and vegetation,Person/Thing,
200,SAME,Bearing full likeness by having precisely the same set of characteristics.,,Miscellaneous function words,Other,
201,FARM,"Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.",,Agriculture and vegetation,Person/Thing,
202,STRENGTH,"Muscular capacity to modify the speed of an external physical object, to deform it or to oppose another force.",,The body,Person/Thing,
203,MARRY,To enter marriage; to take a husband or a wife.,,Kinship,Action/Process,
204,AGAIN,Once more.,,Time,Other,
205,TROUGH,"A long, narrow container, open on top, for feeding or watering animals.",,The house,Person/Thing,
206,FIREFLY,"A nocturnal, bioluminescent beetle of the family Lampyridae.",,Animals,Person/Thing,
207,SPARSE,Occupied or populated by a small number of people.,,Quantity,Property,
208,NASAL MUCUS (SNOT),Mucus from the nose.,,The body,Person/Thing,
209,RARE,Not easily found.,,Possession,Property,
210,LIFE,The time between birth or conception and death.,,The body,Person/Thing,
211,CAST,"To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.",,Basic actions and technology,Action/Process,
212,FIELD,"A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.",,Agriculture and vegetation,Person/Thing,
213,FIN,An appendage of a fish used for swimming.,,Animals,Person/Thing,
214,STRETCH,To lengthen by pulling.,,Basic actions and technology,Action/Process,
215,LIE DOWN,(For a human or animal) to assume a horizontally extended position on a surface.,,Spatial relations,Action/Process,
216,MOVIE,A sequence of animated images.,,Modern world,Person/Thing,
217,BETELNUT,The seed of the areca palm (Areca catechu).,,Agriculture and vegetation,Person/Thing,
218,FINE (PENALTY),A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.,,Law,Person/Thing,
219,TOILET,A room equipped with a toilet for urinating and defecating.,,Modern world,Person/Thing,
220,INTACT,"That has not been impaired or altered; lacking nothing essential, especially not damaged.",,Basic actions and technology,Property,
221,FIRE,"The state of combustion in which inflammable material burns, producing heat, flames and often smoke.",,The physical world,Person/Thing,
222,LAVISH,"Very generous; giving (money, praise, etc.) in abundance.",,Modern world,Property,
223,THRESHING-FLOOR,Dry flat area where the grain is separated from the straw or husks by beating.,,Agriculture and vegetation,Person/Thing,
224,MORTAR,A bowl used to crush and grind ingredients with a pestle.,,Food and drink,Person/Thing,
225,PESTLE,A heavy cylindrical object with a rounded end used for crushing and grinding.,,Food and drink,Person/Thing,
226,TELL FORTUNES,To predict information about a person's future.,,Religion and belief,Action/Process,
227,FISH,A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).,,Animals,Person/Thing,
228,CARVE,To cut or to chip in order to form something.,,Basic actions and technology,Action/Process,
229,MOVE AWAY,To change one's domicile or place of business.,,Basic actions and technology,Action/Process,
230,SWEEP,To clean a surface with a broom.,,Basic actions and technology,Action/Process,
231,SHAVE,To cut the hair close to the skin with a razor.,,Clothing and grooming,Action/Process,
232,FLEA,Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH),,Animals,Person/Thing,
233,SNOWSHOE,Footwear for walking over the snow.,,Clothing and grooming,Person/Thing,
234,PADDLE,"A pole with a blade at one or both ends, the pole itself being not attached to the boat but held by both hands, used to row or steer a boat.",,Basic actions and technology,Person/Thing,
235,FLYING FOX,A large bat of the genus Pteropus of the family Pteropodidae.,,Animals,Person/Thing,
236,STEPMOTHER,"The wife of one's biological father, other than one's biological mother.",,Kinship,Person/Thing,
237,STEPFATHER,"The husband of one's biological mother, other than one's biological father.",,Kinship,Person/Thing,
238,PRAWNS,A decapod crustacean of the suborder Dendrobranchiata.,,Animals,Person/Thing,
239,FLOWER,"The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.",,Agriculture and vegetation,Person/Thing,
240,ELECTION,A process by which members of a population vote to choose a person to hold public office.,,Modern world,Person/Thing,
241,TREE STUMP,A small remaining portion of the trunk of a tree with the roots still in the ground.,,Agriculture and vegetation,Person/Thing,
242,COST,To be priced at.,,Possession,Action/Process,
243,FRESH,"Recently made, produced, or harvested (e.g. bread, scent, etc.).",,The physical world,Property,
244,LEFT,Something that is on the left side relative to another object.,,Spatial relations,Property,
245,BROOM,"A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.",,Basic actions and technology,Person/Thing,
246,THRUST,To push forcefully.,,Motion,Action/Process,
247,TAN,To treat skins and hides with tannic acid so as to convert them into leather.,,The house,Action/Process,
248,HAPPEN,To come to pass.,,Basic actions and technology,Action/Process,
249,FOG,"Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.",,The physical world,Person/Thing,
250,LIGHT (COLOR),(Of color) having a relatively small amount of color components.,,Sense perception,Property,
251,SHARPEN (SOMETHING),To make sharp or sharper.,,Basic actions and technology,Action/Process,
252,FRIGHTEN,To make someone afraid or anxious.,,Sense perception,Action/Process,
253,CARE FOR,To keep under careful scrutiny.,,Social and political relations,Action/Process,
254,STICKING,To stick or hold together and resist separation.,,The physical world,Action/Process,
255,SERVANT,A person performing duties for others. For example a person employed in a household which cares about the domestic duties.,,Social and political relations,Person/Thing,
256,FOOD,A substance that can be ingested and utilized by the organism as a source of nutrition and energy.,,Food and drink,Person/Thing,
257,WORSHIP,To show devotion and obeisance to.,,Religion and belief,Action/Process,
258,CALM,Describing a quiet body of water free from disturbance and without wind or waves.,,The physical world,Property,
259,ROUGH (OF SEA),With large waves (of sea).,,The physical world,Property,
260,SAVANNA,A large open grassland in tropical and subtropical regions.,,The physical world,Person/Thing,
261,ARCTIC LIGHTS,A natural light display in the sky particularly in the Arctic regions.,,The physical world,Person/Thing,
262,HE OR SHE OR IT,"Third person singular pronoun, regardless of gender/sex.",,Kinship,Other,
263,HERDSMAN,A man who looks after a herd of animals.,,Animals,Person/Thing,
264,HE-GOAT,A male goat.,,Animals,Person/Thing,2475
265,FOWL,A bird that is kept for its meat and eggs.,,Animals,Person/Thing,
266,SCALE,One of the small flat pieces of skin that cover the bodies of fish.,,Animals,Person/Thing,
267,NIT,An egg of a louse that is sometimes found in people's hair.,,Animals,Person/Thing,
268,DRIBBLE,To let saliva flow out of one’s mouth onto one’s chin.,,The body,Action/Process,
269,COOKED,Contrasting with 'raw'.,,Food and drink,Property,
270,JUG,A container for holding and pouring liquids with a handle and a spout.,,Food and drink,Person/Thing,
271,SAUCER,A small dish for placing a cup.,,Food and drink,Person/Thing,
272,TONGS,"A tool that consists of two movable bars joined at one end, used to pick up an object.",,Food and drink,Person/Thing,
273,DOUGH,"A mixture of flour and water ready to be baked into bread, pastry etc.",,Food and drink,Person/Thing,
274,KNEAD,To press a dough many times with one's hands.,,Food and drink,Action/Process,
275,PEEL,To remove the skin from food or vegetables.,,Food and drink,Action/Process,
276,BANISTERIUM,A psychoactive infusion prepared from the Banisteriopsis spp.,,Food and drink,Person/Thing,
277,SPINDLE,A stick used in spinning fiber into thread.,,Clothing and grooming,Person/Thing,
278,AWL,Pointed tool for marking or piercing wood or leather.,,Clothing and grooming,Person/Thing,
279,THATCH,"Natural roofing material such as straw, reeds, leaves, etc.",,The house,Person/Thing,
280,RIDGEPOLE,The highest horizontal beam in a roof.,,The house,Person/Thing,
281,POST,"A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something.",,The house,Person/Thing,
282,POLE,"A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something.",,The house,Person/Thing,281
283,PADDY,Wet land in which rice is grown.,,Agriculture and vegetation,Person/Thing,140
284,HOE,"A tool with handle and blade with two or more prongs used for weeding, raking, etc.",,Agriculture and vegetation,Person/Thing,
285,THRESH,Separating the grain from the straw or husks by beating.,,Agriculture and vegetation,Action/Process,
286,NEEDLE TREE,A needle of coniferous tree.,,Agriculture and vegetation,Person/Thing,
287,CONE,The fruit of a pine or fir tree.,,Agriculture and vegetation,Person/Thing,
288,FORGE,To create and mold by hammering.,,Basic actions and technology,Action/Process,
289,MOLD,"To create something, usually for a specific function.",,Basic actions and technology,Action/Process,
290,ADZE,"A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood.",,Basic actions and technology,Person/Thing,
291,PULL OFF (SKIN),To strip or pull off the skin or hide of.,,Basic actions and technology,Action/Process,
292,RUG,A piece of thick cloth or wool that is smaller than a carpet and is put on the floor as decoration.,,Basic actions and technology,Person/Thing,
293,NETBAG,Bag made of net used to carry things.,,Basic actions and technology,Person/Thing,
294,TUMPLINE,A strap slung over the forehead or chest used (especially by native Americans) for carrying packs or loads.,,Basic actions and technology,Person/Thing,
295,WHETSTONE,A stone that is used for whetting a knife or edge tools.,,Basic actions and technology,Person/Thing,
296,CROUCH,To lower one's body close to the ground by bending one's knees completely.,,Motion,Action/Process,
297,CROOKED,Opposite of straight.,,Spatial relations,Property,
298,SHRIEK,"To make a short, loud and high-pitched sound in reaction to something.",,Speech and language,Action/Process,
299,SCOLD,To rebuke.,,Speech and language,Action/Process,
300,RATTLE,A wooden instrument that makes a loud knocking noise [used by people watching football games].,,Speech and language,Person/Thing,
301,CHIEFTAIN,The leader/ruler of a tribe/clan.,,Social and political relations,Person/Thing,
302,CLAN,Extended family.,,Social and political relations,Person/Thing,
303,ABSTAIN FROM FOOD,To refrain from eating.,,Religion and belief,Action/Process,
304,PREACH,To deliver a sermon.,,Religion and belief,Action/Process,
305,GRANDPARENTS,The parents of someone's parent.,,Kinship,Person/Thing,
306,PARENTS-IN-LAW,The parents of someone's spouse,,Kinship,Person/Thing,
307,HAWK,A predatory bird of the family Accipitridae.,,Animals,Person/Thing,
308,TOUCAN,"A bird with a large colorful beak, living in the tropics and belonging to the family Ramphastidae.",,Animals,Person/Thing,
309,OPOSSUM,A mammal being a member of the family Didelphidae.,,Animals,Person/Thing,
